"created_at","text"
2021-10-05 14:06:01,"Program Dear Doctor diproduksi di Media Center KPCPEN (Komite Penanganan Covid-19 dan Pemulihan Ekonomi Nasional) dengan menerapkan protokol kesehatan secara disiplin dan ketat.

#FMB9ID #KPCPEN #Kemkominfo #Kominfo #TaatPPKM #PeduliLindungi #KesehatanPulih #EkonomiBangkit"
2021-09-28 04:03:13,"Program Dear Doctor diproduksi di Media Center KPCPEN (Komite Penanganan Covid-19 dan Pemulihan Ekonomi Nasional) dengan menerapkan protokol kesehatan secara disiplin dan ketat."
2021-09-28 14:46:18,"Program Dear Doctor diproduksi di Media Center KPCPEN (Komite Penanganan Covid-19 dan Pemulihan Ekonomi Nasional) dengan menerapkan protokol kesehatan secara disiplin dan ketat."
2021-09-27 05:02:10,"Tim Komunikasi
Komite Penanganan Covid-19 dan Pemulihan Ekonomi Nasional 

Narahubung:
Ibu Dhani 0812 8451 9595
Email : media-kpcpen@covid19.go.id

#FMB9ID #KPCPEN #Kemkominfo #Kominfo #TaatPPKM #AntisipasiGelombangKetiga #KesehatanPulih #EkonomiBangkit"
2021-09-29 13:32:20,"Live streaming dapat diikuti melalui kanal :
1. Youtube FMB9ID_IKP
2. Youtube Kemkominfo TV
3. Youtube lawan covid 19 ID
4. Live IG di @fmb9.id
5. Facebook @fmb9.id
6. Facebook @kemkominfo

Tim Komunikasi
Komite Penanganan Covid-19 dan Pemulihan Ekonomi Nasional"
2021-09-29 06:21:56,"Live streaming dapat diikuti melalui kanal :
1. Youtube FMB9ID_IKP
2. Youtube Kemkominfo TV
https://t.co/TOptCUWBgs lawan covid 19 ID
4. Live IG di @fmb9.id
5. Facebook @fmb9.id
6. Facebook @kemkominfo

Tim Komunikasi
Komite Penanganan Covid-19 dan Pemulihan Ekonomi Nasional"
2021-10-05 10:58:45,"DIALOG PRODUKTIF RABU UTAMA
“Kembali Nonton Ke Bioskop dengan Protokol Kesehatan Ketat”

Subsektor ekonomi kreatif, yaitu film, animasi, dan video, merupakan salah satu yang terdampak langsung pandemi COVID-19 yang sudah berlangsung lebih dari setahun."
2021-10-05 06:20:57,"menjawab dan memberikan informasi kesehatan di masa Pandemi khususnya kali ini akan membahas fenomena Badai Sitokin pada pasien Covid-19. Program Dear Doctor diproduksi di Media Center KPCPEN (Komite Penanganan Covid-19 dan Pemulihan Ekonomi Nasional) dengan menerapkan protokol"
2021-09-28 05:02:32,"Live streaming dapat diikuti melalui kanal :
1. Youtube FMB9ID_IKP
2. Youtube Kemkominfo TV
 https://t.co/TOptCUWBgs lawan covid 19 ID
4. Live IG di @fmb9.id
5. Facebook @fmb9.id
6. Facebook @kemkominfo

Tim Komunikasi
Komite Penanganan Covid-19 dan Pemulihan Ekonomi Nasional"
2021-10-05 14:02:54,"Pemerintah terus mengakselerasi realisasi program Pemulihan Ekonomi Nasional (PEN) di tengah pandemi Covid-19 yang belum tampak ujung ekornya.

https://t.co/Rd6gF9rqT5

@jokowi"
2021-10-05 13:58:51,"Pandemi Covid-19 Bikin Pertumbuhan Ekonomi Batanghari Mengalami Kontraksi https://t.co/TEsoGTNikl"
2021-09-27 11:11:51,"Bagaimana kondisi ekonomi negara kita setelah puncak gelombang kedua Covid-19? <U+2B07><U+FE0F> https://t.co/liF6pO2oif"
2021-10-05 13:56:02,"Selain itu, untuk menekan defisit, upaya peningkatan pendapatan perlu terus ditingkatkan. Pemulihan ekonomi yang mulai menguat seiring dengan penurunan kasus positif Covid-19 saat ini dapat memberi potensi peningkatan pendapatan dari perpajakan serta bea dan cukai."
2021-10-05 13:36:11,"Pemerintah mendorong agar warga desa mendapatkan vaksinasi Covid-19 dosis kedua guna mengejar kekebalan kelompok. Pemberian vaksin akan mempercepat pemulihan kesehatan sehingga aktivitas ekonomi bisa berjalan lebih cepat

@jokowi lawan pandemi https://t.co/N9qlMFZZ2T"
2021-10-05 13:31:52,"@ferdiriva Senin malam naik ke puncak, macet. 
Selasa siang turun ke Jakarta, macet juga. 
Mantap! 
Susu samping sungai parkirannya ruame... 
Bbrp hotel juga penuh..  
Semoga ini artinya ekonomi mulai naik (tanpa diikuti kenaikan + rate covid) <U+0001F601>"
2021-10-05 13:24:42,"@QueenQueyaa @XavierNaxa ha ha ha.

by hook by crook, all matters uncertainty lagi. dari data affected rate to others covid19, pemulihan sektor ekonomi (bergantung kepada covid19) dll.
But data yg ada, population % vaccination yang tinggi mengurangkan risiko kategori 3-5 covid. By the time, must go on."
2021-10-05 13:17:03,"Pandemi Covid-19 Berdampak Masif, Pemerintah Gaungkan Program Bangga Buatan Indonesia https://t.co/zncerQj0SK"
2021-10-05 13:02:57,"@republikaonline covid melandai bersamaan dg ekonomi tambah nyungsep, hidup makin sulit. jadi yg mana yg mendorong naiknya kriminalitas?"
2021-10-04 07:23:06,"Sektor logistik dinilai akan menjadi salah satu kunci bagi percepatan pemulihan ekonomi Indonesia akibat pendemi Covid-19. https://t.co/IQGLC5ij59"
2021-09-28 10:46:33,"Menurut dia, pandemi Covid-19 perlu segera diakhiri lantaran telah memukul sektor kesehatan, sosial-ekonomi, dan lingkungan. https://t.co/i1MVdq9lhx"
2021-09-28 06:27:40,"Thread: 

Muncul Klaster PTM, Bagaimana Respons Luhut Sebagai Wakil Ketua Komite Penanganan Covid-19 dan Pemulihan Ekonomi Nasional? - #Luhut #KlasterPTM #JernihkanHarapan 
https://t.co/9HV9wXUDSs"
2021-09-28 05:47:34,"Pemerintah diminta bersikap adaptif dalam mendorong penciptaan lapangan kerja baru melalui program-program pemulihan ekonomi nasional. https://t.co/ECqpL90gjF"
2021-10-05 00:33:04,"Pemerintah Kota (Pemkot) Surabaya berkomitmen meningkatkan perekonomian Usaha Mikro Kecil dan Menengah (UMKM) di masa pandemi Covid-19. https://t.co/fbjZK2sw31"
2021-09-30 14:22:07,"Vaksinasi massal yang berlangsung di empat daerah itu diharapkan dapat mempercepat penanganan Covid-19 dan mewujudkan pemulihan ekonomi. https://t.co/wj6EYKb9Mc"
2021-09-28 07:18:02,"Bank Dunia menyampaikan penurunan proyeksi pertumbuhan ekonomi Indonesia terjadi lantaran penularan kasus Covid-19 varian Delta. https://t.co/VA2M5qwCTc"
2021-09-29 12:43:06,"""Sesuai arahan dari teman-teman DPRD dan masukan-masukan, kita lakukan untuk kepentingan Covid-19 dan kebangkitan ekonomi,"" kata Eri Cahyadi. https://t.co/xTD0yvCsNE"
2021-10-05 12:57:32,"Pelonjakan Covid-19 gelombang kedua pada Juli 2021 yang berimbas pada perlambatan aktivitas ekonomi. https://t.co/MadRkhrob0"
2021-10-05 12:56:46,"UMKM masih menjadi tulang punggung bangkitnya ekonomi di wilayah setelah terdampak covid_19
Gagasan UMKM award,tepat untuk merangsang pertumbuhan ekonomi di wilayah DKI JAKARTA 
@AnnisaPohan
@MelaniLSuharli
@RAMujiyono
@alimuhsuharli
https://t.co/tfXohus8jz"
2021-10-05 07:48:17,"Penanganan pandemi COVID-19 di Indonesia terus membaik sejalan dengan penurunan tingkat kasus aktif hingga di bawah 40.000 kasus.
https://t.co/2N1oM4YJ2d"
2021-10-04 17:32:00,"Pesta pernikahan menjadi salah satu jenis kegiatan yang turut dibatasi selama pandemi COVID-19. Omzet pengusaha sektor ini pun anjlok. https://t.co/C91m0FGIZM"
2021-10-04 13:08:39,"Para ekonom mewanti-wanti agar relaksasi PPKM dilakukan dengan serius agar tak terjadi gelombang tiga pandemi COVID-19 dan bernasib sama seperti Singapura. https://t.co/MhidsjQHT6"
2021-09-27 01:37:50,"Dirut Bandara Kertajati, Salahudin Rafi mengakui selama pandemi Covid-19 kondisi di bandara yang dipimpinnya seperti mati suri karena nihil penerbangan. Bagaimana ungkapannya? Simak dalam #BlakBlakan berikut! https://t.co/oz4NwxZiaW https://t.co/MJ6qZv6LZC"
2021-09-29 07:39:12,"Jenderal Sigit menyatakan siap merekrut Novel Baswedan dkk yang tidak lolos TWK KPK. Apa alasannya? https://t.co/rQQlLcjP2H"
2021-09-28 00:02:23,"Airlangga Hartarto mengatakan Presiden Joko Widodo membuat skema bila terjadi gelombang ketiga COVID-19. https://t.co/GFhYUrhJM3"
2021-10-01 13:42:54,"Bagi kamu yang ingin mendaftarkan diri untuk divaksinasi, sekarang bisa daftar vaksin online lewat handphone. Apa saja syaratnya? https://t.co/lc49oLqcbq"
2021-09-29 18:48:52,"KSPI meminta program bantuan sosial tunai (BSU) dan Kartu Prakerja dilanjutkan hingga pandemi COVID-19 selesai. https://t.co/S3ntH7ePHW"
2021-10-05 09:59:59,"Syarat penerbangan terbaru selalu dikaji oleh pemerintah sesuai dengan kondisi kasus aktif COVID-19 di Tanah Air. https://t.co/RMtMajR65b"
2021-10-05 12:48:19,"Status hitam disematkan kepada orang positif COVID-19 atau kontak erat. Pertanyaannya, apakah mereka berhasil lolos pemeriksaan dan bisa masuk ke dalam mal? https://t.co/2qcNheeIBw"
2021-10-01 13:37:40,"Tren belanja online mengalami kenaikan selama pandemi COVID-19. Begini data dan faktanya: https://t.co/ledIDS8YZA"
2021-09-27 08:14:50,"""Kita berharap masyarakat tetap waspada bahwa pandemi COVID masih berada beserta kita sehingga tidak boleh kita kasih kendor,"" kata Airlangga. https://t.co/4L3JFQTz5T"
2021-10-05 12:47:04,"Anak Buah Sri Mulyani Sebut 5 Tanda Ekonomi Pulih dari Covid https://t.co/rKPc4haHRZ"
2021-09-27 15:47:03,"Sri Mulyani Siapkan APBN Antisipasi Endemi Covid-19 https://t.co/7ZFL8u2xY0"
2021-09-28 08:04:04,"#BHNasional Ia berikutan RMK-12 dirangka dengan mengambil kira norma baharu, ekonomi masa hadapan, Pelan Pemulihan Negara (PPN) dan pasca COVID-19.

https://t.co/Gh6LjTZR6u"
2021-10-05 11:51:34,"#BHdunia Walaupun berdepan situasi ekonomi semakin memburuk selepas pelaksanaan sekatan COVID-19
https://t.co/4CNKb048kh"
2021-10-05 12:44:03,"#BHbisnes Skim di bawah Skim Jaminan PRIHATIN Danajamin sebahagian daripada Pakej Rangsangan Ekonomi Malaysia berikutan pandemik COVID-19
https://t.co/6ipLrVLzkp"
2021-10-03 14:22:41,"#BHnasional Rakyat mahu isu COVID-19 diselesaikan dan ekonomi dipulihkan segera
https://t.co/jarTATna0D"
2021-09-27 04:23:17,"#BHnasional Pandemik COVID-19 memberi kesan kepada beberapa sektor ekonomi yang mempunyai kebergantungan tinggi terhadap pekerja asing

https://t.co/V5dor4LGhP"
2021-10-02 05:26:57,"#BHnasional Rakyat dah dapat bernafas sikit bila kita buka (sektor) ekonomi dan saya jangka menjelang Disember dah boleh buka semua sekali. Saya percaya, ‘feel good’ (faktor) bila kes makin menurun - Ismail Sabri 

https://t.co/PwHFYFOMoq

#Belanjawan2022 #RMK12"
2021-10-05 12:15:44,"Dampak covid 19 sangat besar terhadap ekonomi dan keberlangsungan umkm,kalau tidak mendapat perhatian khusus maka umkm ini banyak yang bangkrut.
https://t.co/ZPjbGGqVQB"
2021-10-05 12:11:50,"Rakyat sungguh kecewa dgn Parti Politik kejar kuasa, angkuh...x pernah piker mslh Covid Ekonomi dan Kebajikan Masyarakat...<U+0001F914><U+0001F914><U+0001F914>"
2021-10-05 12:01:44,"PRN Melaka akan menjadi seperti PRN Sabah? What’s going on politik Malaysia?

Keadaan Covid belum reda, rentas negeri belum dibenarkan, sektor ekonomi baru nak bernafas semula, apa lagi yang ingin membebankan rakyat?

Cukuplah jadikan Sabah tu sebagai pengajaran. Please ‘)"
2021-10-04 06:18:33,"Ingat untuk selalu tetap memakai masker, menjaga jarak, mencuci tangan sebelum dan sesudah beraktivitas!

Untuk informasi terkait COVID-19 kunjungi situs resmi Penanganan COVID-19 dan Pemulihan Ekonomi Nasional https://t.co/76orLH9UEv dan https://t.co/U0IVF5VDYz"
2021-09-28 05:37:52,"Untuk informasi terkait COVID-19 kunjungi situs resmi Penanganan COVID-19 dan Pemulihan Ekonomi Nasional https://t.co/76orLH9UEv dan https://t.co/U0IVF5VDYz 

#IndonesiaBangkit #SEMUAWAJIBPAKAIMASKER"
2021-10-05 10:30:28,"Untuk informasi terkait COVID-19 kunjungi situs resmi Penanganan COVID-19 dan Pemulihan Ekonomi Nasional https://t.co/76orLH9UEv dan https://t.co/U0IVF5VDYz 

#IndonesiaBangkit #SEMUAWAJIBPAKAIMASKER"
2021-09-27 10:39:33,"Untuk informasi terkait COVID-19 kunjungi situs resmi Penanganan COVID-19 dan Pemulihan Ekonomi Nasional https://t.co/76orLH9UEv dan https://t.co/U0IVF5VDYz 

#IndonesiaBangkit #SEMUAWAJIBPAKAIMASKER"
2021-09-30 04:59:08,"Untuk informasi terkait COVID-19 kunjungi situs resmi Penanganan COVID-19 dan Pemulihan Ekonomi Nasional https://t.co/76orLH9UEv dan https://t.co/U0IVF5VDYz 

#IndonesiaBangkit #SEMUAWAJIBPAKAIMASKER"
2021-10-03 08:08:41,"Untuk informasi terkait COVID-19 kunjungi situs resmi Penanganan COVID-19 dan Pemulihan Ekonomi Nasional https://t.co/76orLH9UEv dan https://t.co/U0IVF5VDYz 

#IndonesiaBangkit #SEMUAWAJIBPAKAIMASKER"
2021-09-27 10:39:30,"Hal ini dilakukan agar berkunjung ke pasar rakyat tetap dapat memberikan rasa aman dan nyaman bagi pengunjung dari penularan COVID-19. Ekonomi rakyat pun tetap bisa bergerak."
2021-09-29 07:41:20,"Untuk informasi terkait COVID-19 kunjungi situs resmi Penanganan COVID-19 dan Pemulihan Ekonomi Nasional https://t.co/76orLH9UEv dan https://t.co/U0IVF5VDYz 

#IndonesiaBangkit #SEMUAWAJIBPAKAIMASKER"
2021-10-04 10:16:42,"Untuk informasi terkait COVID-19 kunjungi situs resmi Penanganan COVID-19 dan Pemulihan Ekonomi Nasional https://t.co/76orLH9UEv dan https://t.co/U0IVF5VDYz 

#IndonesiaBangkit #SEMUAWAJIBPAKAIMASKER"
2021-09-28 10:29:44,"Untuk informasi terkait COVID-19 kunjungi situs resmi Penanganan COVID-19 dan Pemulihan Ekonomi Nasional https://t.co/76orLH9UEv dan https://t.co/U0IVF5VDYz 

#IndonesiaBangkit #SEMUAWAJIBPAKAIMASKER"
2021-09-29 03:28:08,"Untuk informasi terkait COVID-19 kunjungi situs resmi Penanganan COVID-19 dan Pemulihan Ekonomi Nasional https://t.co/76orLH9UEv dan https://t.co/U0IVF5VDYz 

#IndonesiaBangkit #SEMUAWAJIBPAKAIMASKER"
2021-10-02 09:10:16,"Untuk informasi terkait COVID-19 kunjungi situs resmi Penanganan COVID-19 dan Pemulihan Ekonomi Nasional https://t.co/76orLH9UEv dan https://t.co/U0IVF5VDYz 

#IndonesiaBangkit #SEMUAWAJIBPAKAIMASKER"
