"","text"
"1","@jokowi , @mohmahfudmd @fadlizon PPKM yg sudah berjalan ternyata tdk ckp efektif menekan covid, malah menekan ekonomi. Knp tdk terapkan UU karantina? 1000 trilyun menguap tp tdk ada efek apapun, walou terlambat segera lock down alihkan dana insfrastruktur utk jaminan hidup rakyat"
"2","Makin ramai rakyat terkorban sebab Covid, ekonomi merundum, tapi PN masih menipu rakyat. Parlimen pun tak dibuka, Ahli Parlimen tidak dapat membahaskan isu rakyat. Cukup PN! PM tidak mampu mengemudi negara sewaktu krisis. PM &amp; kabinet mesti berundur!

<U+0001F4F8>Malek 
 #ResetMalaysia https://t.co/2XgElQHtGP"
"3","Buruh Minta Gaji Pejabat Dipotong Buat Tangani Covid-19 https://t.co/5Gbm2k4d6I"
"4","PPKM Diperpanjang mpe 9 Agustus 2021... 
*
""Pilihan masyarakat dan pemerintah adalah sama, yaitu antara menghadapi ancaman keselamatan jiwa akibat COVID-19, dan menghadapi ancaman ekonomi, kehilangan mata pencarian dan pekerjaan,"" kata Jokowi .... https://t.co/gK3hivC7VI"
"5","Makin ramai rakyat terkorban sebab Covid, ekonomi merundum, tapi PN masih menipu rakyat. Parlimen pun tak dibuka, Ahli Parlimen tidak dapat membahaskan isu rakyat. Cukup PN! PM tidak mampu mengemudi negara sewaktu krisis. PM &amp; kabinet mesti berundur!

<U+0001F4F8>Malek 
 #ResetMalaysia https://t.co/2XgElQHtGP"
"6","Hari ini kita bebas dari Darurat tetapi kita tidak bebas dari COVID-19. Kita masih tidak bebas dari kemelesetan ekonomi.Kita tidak bebas dari kehilangan nyawa dan mata pencarian kerana kegagalan PN menangani COVID-19.
(1/4) https://t.co/p0JLeHejlD"
"7","Buruh Minta Gaji Pejabat Dipotong Buat Tangani Covid-19 https://t.co/5Gbm2k4d6I"
"8","Makin ramai rakyat terkorban sebab Covid, ekonomi merundum, tapi PN masih menipu rakyat. Parlimen pun tak dibuka, Ahli Parlimen tidak dapat membahaskan isu rakyat. Cukup PN! PM tidak mampu mengemudi negara sewaktu krisis. PM &amp; kabinet mesti berundur!

<U+0001F4F8>Malek 
 #ResetMalaysia https://t.co/2XgElQHtGP"
"9","Nah, sudah paham kan? 

Ayo, jangan ragu manfaatkan relaksasinya demi keberlangsungan bisnis #SobatKompetisi dan mempercepat pemulihan ekonomi sebagai akibat pandemi Covid-19 ini! 

Jangan lupa tag rekan yang harus tahu informasi ini!"
"10","terkesan ekoran pandemik COVID-19 untuk meneruskan semula perniagaan. 

Sebanyak RM100 juta diperuntukkan di bawah Pakej Perlindungan Rakyat dan Pemulihan Ekonomi (PEMULIH) bagi -"
"11","mengajak pengamal media agar sama-sama berganding bahu menumpukan segala usaha dalam memerangi COVID-19, menjaga kebajikan rakyat dan meneruskan kelangsungan ekonomi negara. 

#KomunikasiKita
#JabatanPenerangan"
"12","Makin ramai rakyat terkorban sebab Covid, ekonomi merundum, tapi PN masih menipu rakyat. Parlimen pun tak dibuka, Ahli Parlimen tidak dapat membahaskan isu rakyat. Cukup PN! PM tidak mampu mengemudi negara sewaktu krisis. PM &amp; kabinet mesti berundur!

<U+0001F4F8>Malek 
 #ResetMalaysia https://t.co/2XgElQHtGP"
"13","It's okay nak cucuk vaksin beribu kali tp ini ekonomi n penyakit covid 19 kasi hapus.. Buat yg trbaik jgn mengambil kesempatan dalam kesempatan."
"14","Hari ini kita bebas dari Darurat tetapi kita tidak bebas dari COVID-19. Kita masih tidak bebas dari kemelesetan ekonomi.Kita tidak bebas dari kehilangan nyawa dan mata pencarian kerana kegagalan PN menangani COVID-19.
(1/4) https://t.co/p0JLeHejlD"
"15","Makin ramai rakyat terkorban sebab Covid, ekonomi merundum, tapi PN masih menipu rakyat. Parlimen pun tak dibuka, Ahli Parlimen tidak dapat membahaskan isu rakyat. Cukup PN! PM tidak mampu mengemudi negara sewaktu krisis. PM &amp; kabinet mesti berundur!

<U+0001F4F8>Malek 
 #ResetMalaysia https://t.co/2XgElQHtGP"
"16","Cara nie salah tunggulah covid reda dulu. Pihak pembangkang nie pikirkan jawatan ja ramai yang tengah tenat sekarang nie. Frontliner tenat, para peniaga tenat, student tenat, yang terkurung dari pkp 1.0 tenat. Ekonomi negara tenat...... Apa lah nasib <U+0001F972> https://t.co/4zdxT4Ya1y"
"17","@fzwan18 @HermyRahim setiap minggu swab kan kalau kilang , sanggup habiskan duit semata2 nak jalankan produk , ekonomi penting kan , padahal yg positif pon dah ramai , yg mati pon dah ramai , pekerja yg lain pon sampai takot nak g kerja sebab kes covid"
"18","Makin ramai rakyat terkorban sebab Covid, ekonomi merundum, tapi PN masih menipu rakyat. Parlimen pun tak dibuka, Ahli Parlimen tidak dapat membahaskan isu rakyat. Cukup PN! PM tidak mampu mengemudi negara sewaktu krisis. PM &amp; kabinet mesti berundur!

<U+0001F4F8>Malek 
 #ResetMalaysia https://t.co/2XgElQHtGP"
"19","Ditunjuk jadi Ketua Komite Penanggulangan Covid-19 dan Pemulihan Ekonomi Nasional tahun 2020. Lha kok malah pasang gambar diri dimana2 baru mau kerja tahun 2024? Gimana Indonesia tidak juara Dunia? https://t.co/9V915edfcs"
"20","Seremnya, yg kek gini bisa beneran kejadian lho. 

Misal ppkm terus diulur ulur dg mengorbankan ekonomi, sementara penanganan covid ga membaik, semua makin exhausted. Pada capek. https://t.co/WFyMgI207d"
"21","Hari ini kita bebas dari Darurat tetapi kita tidak bebas dari COVID-19. Kita masih tidak bebas dari kemelesetan ekonomi.Kita tidak bebas dari kehilangan nyawa dan mata pencarian kerana kegagalan PN menangani COVID-19.
(1/4) https://t.co/p0JLeHejlD"
