created_at,text
2021-10-04 0:04:20,"Pemerintah Indonesia meluncurkan dana bansos berupa BLT untuk mengurangi dampak ekonomi yg ditimbulkan dari covid-19

#PPKMEfektifLawanCovid https://t.co/ngwrWVPNoH"
2021-10-04 0:08:11,"*KAMU HARUS TAHU YA...*

*POLDA JATENG MAGERI SEGORO*

Program yang di gagas Kapolda Jateng irjen Pol Ahmad Luthfi   dalam rangka mendukung pemerintah khususnya  program  Pemulihan Ekonomi Nasional (PEN) di tengah Pandemi Covid-19 melalui Rehabilitasi Hutan mangrove https://t.co/jyHshGuk5Z"
2021-10-04 0:35:19,"Saya percaya ini adalah salah satu langkah yang baik untuk memulihkan semula ekonomi negara. Oleh itu, saya harap orang ramai terus mematuhi SOP yang ditetapkan bagi mengekang penularan Covid-19 di tempat kerja."
2021-10-04 0:37:16,"Fokus Presidensi G20 juga tentang pemulihan ekonomi akibat pandemi Covid 19. 

Diharapkan Startup berbasis digital bisa menjadi motor percepatan pemulihan ekonomi karena akan diadakan Liga Inovasi Digital. 

Siap-siap nih yang punya startup pada ikutan https://t.co/TAugesoRMx"
2021-10-04 0:40:21,Pemerintah Indonesia meluncurkan dana Bansos berupa BLT untuk mengurangi dampak ekonomi yg ditimbulkan dari covid-19 #PPKMEfektifLawanCovid https://t.co/jRK9ecmdkj
2021-10-04 0:46:36,"Pemerintah Indonesia meluncurkan dana Bansos berupa BLT untuk mengurangi dampak ekonomi yang ditimbulkan dari covid-19

#PPKMEfektifLawanCovid https://t.co/dCOBeOZjLV"
2021-10-04 0:48:09,"Di bidang Finansial, pemerintah Indonesia akan mendorong forum G20 untuk meningkatkan kemitraan dan inklusivitas guna mempercepat pemulihan ekonomi global setelah dihantam pandemi Covid 19"
2021-10-04 0:51:46,"*POLDA JATENG MAGERI SEGORO*

Program yang di gagas Kapolda Jateng irjen Pol Ahmad Luthfi   dalam rangka mendukung pemerintah khususnya  program  Pemulihan Ekonomi Nasional (PEN) di tengah Pandemi Covid-19 melalui Rehabilitasi Hutan mangrove https://t.co/OFZ6be2tOi"
2021-10-04 0:52:09,"*POLDA JATENG MAGERI SEGORO*

Program yang di gagas Kapolda Jateng irjen Pol Ahmad Luthfi   dalam rangka mendukung pemerintah khususnya  program  Pemulihan Ekonomi Nasional (PEN) di tengah Pandemi Covid-19 melalui Rehabilitasi Hutan mangrove https://t.co/eqKGQ68EWl"
2021-10-04 0:55:18,"#sobattangerang - Dirgahayu ke - 21 Provinsi Banten. Semoga Provinsi Banten semakin maju dan sejahtera masyarakatnya. 

Serta mampu mengendalikan kesehatan dan ekonomi masyarakat di tengah pandemi Covid-19.

""Banten Sehat, Ekonomi Kuat""
...
#tngtv #hutbanten #provinsibanten https://t.co/9DtOpuSD4f"
