"","word"
"1","ppkm"
"1.1","yang"
"1.2","sudah"
"1.3","berjalan"
"1.4","ternyata"
"1.5","tidak"
"1.6","cukup"
"1.7","efektif"
"1.8","menekan"
"1.9","covid"
"1.10","malah"
"1.11","menekan"
"1.12","ekonomi"
"1.13","kenapa"
"1.14","tidak"
"1.15","terapkan"
"1.16","uu"
"1.17","karantina"
"1.18","trilyun"
"1.19","menguap"
"1.20","tapi"
"1.21","tidak"
"1.22","ada"
"1.23","efek"
"1.24","apapun"
"1.25","walou"
"1.26","terlambat"
"1.27","segera"
"1.28","lock"
"1.29","down"
"1.30","alihkan"
"1.31","dana"
"1.32","insfrastruktur"
"1.33","untuk"
"1.34","jaminan"
"1.35","hidup"
"1.36","rakyat"
"2","makin"
"2.1","ramai"
"2.2","rakyat"
"2.3","terkorban"
"2.4","sebab"
"2.5","covid"
"2.6","ekonomi"
"2.7","merundum"
"2.8","tapi"
"2.9","pn"
"2.10","masih"
"2.11","menipu"
"2.12","rakyat"
"2.13","parlimen"
"2.14","pun"
"2.15","tak"
"2.16","dibuka"
"2.17","ahli"
"2.18","parlimen"
"2.19","tidak"
"2.20","dapat"
"2.21","membahaskan"
"2.22","isu"
"2.23","rakyat"
"2.24","cukup"
"2.25","pn"
"2.26","pm"
"2.27","tidak"
"2.28","mampu"
"2.29","mengemudi"
"2.30","negara"
"2.31","sewaktu"
"2.32","krisis"
"2.33","pm"
"2.34","kabinet"
"2.35","mesti"
"2.36","berundur"
"2.37","malek"
"2.38","resetmalaysia"
"3","buruh"
"3.1","meminta"
"3.2","gaji"
"3.3","pejabat"
"3.4","dipotong"
"3.5","buat"
"3.6","tangani"
"3.7","covid"
"4","ppkm"
"4.1","diperpanjang"
"4.2","mpe"
"4.3","agustus"
"4.4","pilihan"
"4.5","masyarakat"
"4.6","dan"
"4.7","pemerintah"
"4.8","adalah"
"4.9","sama"
"4.10","yaitu"
"4.11","antara"
"4.12","menghadapi"
"4.13","ancaman"
"4.14","keselamatan"
"4.15","jiwa"
"4.16","akibat"
"4.17","covid"
"4.18","dan"
"4.19","menghadapi"
"4.20","ancaman"
"4.21","ekonomi"
"4.22","kehilangan"
"4.23","mata"
"4.24","pencarian"
"4.25","dan"
"4.26","pekerjaan"
"4.27","kata"
"4.28","jokowi"
"5","hari"
"5.1","ini"
"5.2","kita"
"5.3","bebas"
"5.4","dari"
"5.5","darurat"
"5.6","tetapi"
"5.7","kita"
"5.8","tidak"
"5.9","bebas"
"5.10","dari"
"5.11","covid"
"5.12","kita"
"5.13","masih"
"5.14","tidak"
"5.15","bebas"
"5.16","dari"
"5.17","kemelesetan"
"5.18","ekonomi"
"5.19","kita"
"5.20","tidak"
"5.21","bebas"
"5.22","dari"
"5.23","kehilangan"
"5.24","nyawa"
"5.25","dan"
"5.26","mata"
"5.27","pencarian"
"5.28","kerana"
"5.29","kegagalan"
"5.30","pn"
"5.31","menangani"
"5.32","covid"
"6","nah"
"6.1","sudah"
"6.2","paham"
"6.3","kan"
"6.4","ayo"
"6.5","jangan"
"6.6","ragu"
"6.7","manfaatkan"
"6.8","relaksasinya"
"6.9","demi"
"6.10","keberlangsungan"
"6.11","bisnis"
"6.12","sobatkompetisi"
"6.13","dan"
"6.14","mempercepat"
"6.15","pemulihan"
"6.16","ekonomi"
"6.17","sebagai"
"6.18","akibat"
"6.19","pandemi"
"6.20","covid"
"6.21","ini"
"6.22","jangan"
"6.23","lupa"
"6.24","tag"
"6.25","rekan"
"6.26","yang"
"6.27","harus"
"6.28","tahu"
"6.29","informasi"
"6.30","ini"
"7","terkesan"
"7.1","ekoran"
"7.2","pandemik"
"7.3","covid"
"7.4","untuk"
"7.5","meneruskan"
"7.6","semula"
"7.7","perniagaan"
"7.8","sebanyak"
"7.9","rm"
"7.10","juta"
"7.11","diperuntukkan"
"7.12","di"
"7.13","bawah"
"7.14","pakej"
"7.15","perlindungan"
"7.16","rakyat"
"7.17","dan"
"7.18","pemulihan"
"7.19","ekonomi"
"7.20","pemulih"
"7.21","bagi"
"8","mengajak"
"8.1","pengamal"
"8.2","media"
"8.3","agar"
"8.4","sama"
"8.5","sama"
"8.6","berganding"
"8.7","bahu"
"8.8","menumpukan"
"8.9","segala"
